id,vehicle,step,position_x,position_y,velocity_x,velocity_y,acceleration_x,acceleration_y,rolling_velocity_x,rolling_acceleration_x,max_interaction_force,max_interaction_id,border_force,nudge_force,driving_force_x,driving_force_y
0,ebike,305,2.6959198,-1.0708303,5.0470877,-0.16470228,2.1158323,-0.58072513,0.08261369,2.146207,0.0,,-0.6768765,0.0,2.1158323,0.09615136
0,ebike,306,2.7812078,-1.0737517,5.08235,-0.16566038,2.096059,-0.5771722,0.08321547,2.1261477,0.0,,-0.67393476,0.0,2.096059,0.09676252
0,ebike,307,2.8670726,-1.0766863,5.117283,-0.16651654,2.0764694,-0.5736685,0.08381161,2.1062765,0.0,,-0.67097807,0.0,2.0764694,0.0973096
0,ebike,308,2.9535089,-1.0796325,5.151887,-0.16727078,2.0570617,-0.57020813,0.08440219,2.0865905,0.0,,-0.66800827,0.0,2.0570617,0.09780012
0,ebike,309,3.0405111,-1.0825889,5.1861763,-0.16793668,2.0378373,-0.56679285,0.08498722,2.067089,0.0,,-0.6650269,0.0,2.0378373,0.09823409
0,ebike,310,3.1280742,-1.085554,5.2201366,-0.16851425,2.0187876,-0.5634165,0.08556684,2.0477686,0.0,,-0.6620355,0.0,2.0187876,0.09861902
0,ebike,311,3.2161927,-1.0885264,5.2537823,-0.16901028,1.9999206,-0.5600807,0.08614102,2.0286293,0.0,,-0.6590356,0.0,1.9999206,0.09895494
0,ebike,312,3.3048615,-1.0915048,5.287113,-0.16942476,1.9812286,-0.556783,0.08670983,2.009669,0.0,,-0.6560286,0.0,1.9812286,0.099245586
0,ebike,313,3.3940756,-1.0944881,5.3201294,-0.16977131,1.9627115,-0.55352473,0.087273315,1.990886,0.0,,-0.65301573,0.0,1.9627115,0.09949097
0,ebike,314,3.4838297,-1.0974752,5.352845,-0.1700499,1.9443691,-0.5502995,0.08783152,1.9722793,0.0,,-0.6499982,0.0,1.9443691,0.09969865
0,ebike,315,3.5741189,-1.1004648,5.3852463,-0.17026055,1.9261937,-0.5471086,0.08838455,1.953845,0.0,,-0.6469772,0.0,1.9261937,0.099868596
0,ebike,316,3.664938,-1.1034561,5.417347,-0.17041002,1.9081931,-0.54395306,0.088932365,1.9355842,0.0,,-0.64395386,0.0,1.9081931,0.10000081
0,ebike,317,3.756282,-1.1064482,5.449147,-0.17050517,1.8903599,-0.54082996,0.089475065,1.9174945,0.0,,-0.64092904,0.0,1.8903599,0.100099064
0,ebike,318,3.8481464,-1.10944,5.480647,-0.17054592,1.8726926,-0.53773665,0.090012684,1.8995737,0.0,,-0.6379038,0.0,1.8726926,0.100167125
0,ebike,319,3.940526,-1.1124307,5.511861,-0.17053235,1.8551927,-0.5346741,0.09054525,1.8818213,0.0,,-0.6348791,0.0,1.8551927,0.100205
0,ebike,320,4.0334163,-1.1154195,5.542774,-0.17047119,1.8378516,-0.5316431,0.09107289,1.8642335,0.0,,-0.6318558,0.0,1.8378516,0.10021267
0,ebike,321,4.1268125,-1.1184057,5.5734158,-0.17036247,1.8206775,-0.52864075,0.09159556,1.846811,0.0,,-0.62883466,0.0,1.8206775,0.1001939
0,ebike,322,4.22071,-1.1213886,5.603771,-0.17021298,1.8036544,-0.5256677,0.092113435,1.8295484,0.0,,-0.62581646,0.0,1.8036544,0.100148715
